127.0.0.1 - - [18/May/2017:14:12:06 +0530] "" 400 1797
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET / HTTP/1.1" 200 7495
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/wysiwyg/wysiwyg.css HTTP/1.1" 200 6617
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/question.mark/question.mark.css HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/css/fitnesse_straight.css HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/css/fitnesse_wiki.css HTTP/1.1" 200 3531
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/css/fitnesse_pages.css HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/javascript/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/javascript/fitnesse_straight.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/javascript/fitnesse.js HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/javascript/mousetrap.min.js HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/question.mark/question.mark.js HTTP/1.1" 200 5439
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:45 +0530] "GET /files/fitnesse/images/fitnesse-logo.png HTTP/1.1" 200 20022
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /FrontPage.WelcomeTestCase HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/css/fitnesse_pages.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/wysiwyg/wysiwyg.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/question.mark/question.mark.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/css/fitnesse_wiki.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/css/fitnesse_straight.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/javascript/fitnesse_straight.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/javascript/fitnesse.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/javascript/mousetrap.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/question.mark/question.mark.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/javascript/jquery-1.7.2.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:12:53 +0530] "GET /files/fitnesse/images/fitnesse-logo.png HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/css/fitnesse_pages.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/css/fitnesse_wiki.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/css/fitnesse_straight.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/wysiwyg/wysiwyg.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/question.mark/question.mark.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/javascript/fitnesse.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/javascript/fitnesse_straight.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/javascript/jquery-1.7.2.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /files/fitnesse/images/fitnesse-logo.png HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:00 +0530] "GET /FrontPage.WelcomeTestCase?test HTTP/1.1" 200 5307
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /FrontPage.MyFirstSuite HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/question.mark/question.mark.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/css/fitnesse_wiki.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/css/fitnesse_straight.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/css/fitnesse_pages.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/wysiwyg/wysiwyg.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/javascript/jquery-1.7.2.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/javascript/fitnesse.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/question.mark/question.mark.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/javascript/fitnesse_straight.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/javascript/mousetrap.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:09 +0530] "GET /files/fitnesse/images/fitnesse-logo.png HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:11 +0530] "GET /files/fitnesse/css/fitnesse_straight.css HTTP/1.1" 304 0
